"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"KFQGXM7C","journalArticle","2020","Yu, Jisang; Hendricks, Nathan P.","Input Use Decisions with Greater Information on Crop Conditions: Implications for Insurance Moral Hazard and the Environment","American Journal of Agricultural Economics","","0002-9092","10.1093/ajae/aaz035","https://onlinelibrary.wiley.com/doi/abs/10.1093/ajae/aaz035","","2020-05-20","2021-03-16 12:45:01","2021-03-16 12:45:18","","826-845","","3","102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HXLJZIST","journalArticle","2020","Park, Sungkwol; Goodwin, Barry K.; Zheng, Xiaoyong; Rejesus, Roderick M.","Contract elements, growing conditions, and anomalous claims behaviour in U.S. crop insurance","The Geneva Papers on Risk and Insurance - Issues and Practice","","1018-5895","10.1057/s41288-019-00143-9","http://link.springer.com/10.1057/s41288-019-00143-9","","2020-01-26","2021-03-16 12:45:01","2021-03-16 12:45:20","","157-183","","1","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMYI3WJR","journalArticle","1989","Chambers, Robert G.","Insurability and Moral Hazard in Agricultural Insurance Markets","American Journal of Agricultural Economics","","0002-9092","10.2307/1242016","https://onlinelibrary.wiley.com/doi/abs/10.2307/1242016","","1989-08","2021-03-16 12:45:02","2021-03-16 12:45:22","","604-616","","3","71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2YBWI7YP","journalArticle","1993","Horowitz, John K.; Lichtenberg, Erik","Insurance, Moral Hazard, and Chemical Use in Agriculture","American Journal of Agricultural Economics","","0002-9092","10.2307/1243980","https://onlinelibrary.wiley.com/doi/abs/10.2307/1243980","","1993-11","2021-03-16 12:45:03","2021-03-16 12:45:24","","926-935","","4","75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VHDFACU5","journalArticle","1997","Coble, Keith H.; Knight, Thomas O.; Pope, Rulon D.; Williams, Jeffery R.","An Expected‐Indemnity Approach to the Measurement of Moral Hazard in Crop Insurance","American Journal of Agricultural Economics","","0002-9092","10.2307/1243955","https://onlinelibrary.wiley.com/doi/abs/10.2307/1243955","","1997-02","2021-05-21 04:57:11","2023-09-15 08:03:18","","216-226","","1","79","","","","","","","","","","","","","","","","","","","C:\Users\ftsib\Zotero\storage\HEVYFIJV\1243955.html","","","crop insurance; moral hazard; G220; D820; Q140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W3S2HPAV","conferencePaper","2006","Roberts, Michael J.; Key, Nigel; O'Donoghue, Erik","Estimating the extent of moral hazard in crop insurance using administrative data","Review of Agricultural Economics","","","10.1111/j.1467-9353.2006.00303.x","","","2006","2022-04-08 22:44:03","2022-04-08 22:44:24","","","","","","","","","","","","","","","","","","","","","","ISSN: 10587195","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2NKMQGDU","journalArticle","2018","He, Juan; Rejesus, Roderick; Zheng, Xiaoyong; Yorobe, Jose","Advantageous Selection in Crop Insurance: Theory and Evidence","Journal of Agricultural Economics","","0021-857X","10.1111/1477-9552.12267","https://onlinelibrary.wiley.com/doi/10.1111/1477-9552.12267","","2018-09-02","2022-05-20 12:05:53","2022-05-20 12:05:54","","646-668","","3","69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W525TJAF","journalArticle","2012","Woodard, Joshua D.; Pavlista, Alexander D.; Schnitkey, Gary D.; Burgener, Paul A.; Ward, Kimberley A.","Government Insurance Program Design, Incentive Effects, and Technology Adoption: The Case of Skip‐Row Crop Insurance","American Journal of Agricultural Economics","","0002-9092","10.1093/ajae/aas018","https://onlinelibrary.wiley.com/doi/10.1093/ajae/aas018","Can the availability of poorly-designed government insurance alter technology adoption decisions? A theoretical model of technology adoption and insurance incentive effects for a high- and low-risk technology is developed and explored empirically using a unique dataset of skip-row agronomic trial data. A multivariate nonparametric resampling technique is developed, which augments the trial data with a larger dataset of conventional yields to improve estimation efficiency. Skip-row adoption is found to increase mean yields and reduce risk in areas prone to drought. RMA insurance rules have incentive-distorting impacts which disincentivize skip-row adoption. © The Author (2012).","2012-07-23","2022-06-21 18:11:40","2024-04-15 10:04:24","","823-837","","4","94","","","","","","","","","","","","","","","","","","","C:\Users\ftsib\Zotero\storage\K9QB99EA\Woodard et al. - 2012 - Government Insurance Program Design, Incentive Eff.pdf; C:\Users\ftsib\Zotero\storage\X3BZVC3J\aas018.html","","","Technology adoption; technology adoption; Adverse selection; Risk management; Federal Crop Insurance; Insurance design; Insurance pricing; Nonparametric methods; Skip-row corn; Yield risk; federal Crop Insurance; insurance design; insurance pricing; nonparametric methods; risk management; skip-row corn; yield risk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FQEV4LQ8","journalArticle","2020","Wu, Shenan; Goodwin, Barry K.; Coble, Keith","Moral hazard and subsidized crop insurance","Agricultural Economics","","0169-5150","10.1111/agec.12545","https://onlinelibrary.wiley.com/doi/10.1111/agec.12545","","2020-01-09","2023-01-31 15:27:46","2023-01-31 15:27:48","","131-142","","1","51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DTUJQ665","journalArticle","1999","Just, Richard E.; Calvin, Linda; Quiggin, John","Adverse Selection in Crop Insurance: Actuarial and Asymmetric Information Incentives","American Journal of Agricultural Economics","","0002-9092","10.2307/1244328","https://onlinelibrary.wiley.com/doi/abs/10.2307/1244328","Adverse selection is often blamed for crop insurance indemnities exceeding premiums plus subsidies. However, nationwide empirical evidence has been lacking or based on inadequate county-level data. This article uses nationwide farm-level data on corn and soybeans to decompose incentives for participation in U.S. multiple peril crop insurance into a risk-aversion incentive (the conventional justification for insurance), an actuarial or subsidy incentive (reflecting government subsidization), and an asymmetric information incentive (which reflects farmers' information advantage). Results show that the risk-aversion incentive is small. Farmers participate in crop insurance primarily to receive the subsidy or because of adverse selection possibilities.","1999-11","2023-04-13 10:07:28","2023-04-13 10:07:31","","834-849","","4","81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K4PEEHTC","journalArticle","2011","Hou, Linging; Hoag, Dana L.K.; Mu, Yueying","Testing for adverse selection of crop insurance in northern China","China Agricultural Economic Review","","1756-137X","10.1108/17561371111192329","https://www.emerald.com/insight/content/doi/10.1108/17561371111192329/full/html","Purpose: The purpose of this paper is to examine the efficiency of current subsidized crop insurance products (SCIPs) in Miyun county, in northern China, by testing the existence of adverse selection. Design/methodology/approach: The authors examine the efficiency of SCIPs from a farmers' point of view by testing the existence of adverse selection using nonparametric tests and logit regression on data from individual interviews in Miyun County. Due to adverse selection, producers with more risk should be more likely to buy crop insurance in pursuit of the benefits from SCIPs. Findings: However, both methods conclude no existence of adverse selection, which indicates that the programs are inefficient. This may not be surprising based on the issues of concern cited above. The opportunities and challenges of a growing interest in weather index insurance are discussed toward the end of the paper. Originality/value: This paper weaves together literature on traditional and weather index insurance, along with primary data from a survey, to examine the pros and cons of each type of insurance. Implications for policy makers are to compare the tradeoffs between concerns of the two types of insurance examined here, traditional and weather index insurance. Ultimately, the political goals might best determine which option is most desirable. © 2011 Emerald Group Publishing Limited.","2011-11-22","2023-04-13 10:07:28","2023-04-13 10:07:30","","462-475","","4","3","","","","","","","","","","","","","","","","","","","","","","Crops; China; Crop insurance; Insurance; Adverse selection; Weather index insurance","Holly Wang, H.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
